Batch Size,Activation,Hidden Size,Num Layers,Dropout,Learning Rate,Epochs,MSE,RMSE,MAE,MAPE,R2
64,relu,256,2,0.1,0.001,50,5.557594299316406,2.3574550471464786,1.7519654035568237,9.647144377231598,0.8526133298873901
64,relu,256,2,0.1,0.0005,50,5.698648452758789,2.3871842100597913,1.7629517316818237,9.791339933872223,0.8488725423812866
64,relu,128,2,0.1,0.001,50,6.678217887878418,2.5842248137262396,1.9337332248687744,10.748463869094849,0.8228945136070251
64,relu,128,2,0.1,0.0005,50,7.32478666305542,2.7064343079142748,2.049093008041382,11.431732773780823,0.8057475686073303
64,tanh,256,2,0.1,0.0005,50,8.115921974182129,2.8488457266377427,2.1779239177703857,12.326783686876297,0.7847667932510376
64,tanh,128,2,0.1,0.001,50,9.608502388000488,3.0997584402660294,2.382840156555176,13.493391871452332,0.7451837062835693
64,tanh,256,2,0.1,0.001,50,11.145118713378906,3.338430576390485,2.585143804550171,14.729133248329163,0.7044328451156616
64,tanh,128,2,0.1,0.0005,50,13.987789154052734,3.740025287889473,2.9439351558685303,16.698849201202393,0.6290456056594849

50


Batch Size,Activation,Hidden Size,Num Layers,Dropout,Learning Rate,Epochs,MSE,RMSE,MAE,MAPE,R2
64,relu,256,2,0.1,0.0005,100,5.369853973388672,2.31729453747008,1.7066338062286377,9.421633929014206,0.8575921654701233
64,relu,256,2,0.1,0.001,100,5.651530742645264,2.3772948371300653,1.7668792009353638,9.789884835481644,0.8501220941543579
64,relu,128,2,0.1,0.0005,100,5.921028137207031,2.4333162838412585,1.8127182722091675,10.06539762020111,0.8429750800132751
64,relu,128,2,0.1,0.001,100,6.398703575134277,2.5295658866956354,1.8804882764816284,10.49313023686409,0.8303071856498718
64,tanh,256,2,0.1,0.001,100,8.434610366821289,2.904240067009146,2.2201826572418213,12.44327649474144,0.7763152122497559
64,tanh,128,2,0.1,0.001,100,9.312376022338867,3.051618590574331,2.360048532485962,13.352535665035248,0.7530369758605957
64,tanh,256,2,0.1,0.0005,100,9.670462608337402,3.109736742609799,2.384342908859253,13.609342277050018,0.7435405254364014
64,tanh,128,2,0.1,0.0005,100,14.019522666931152,3.7442653040257645,2.948410749435425,16.808906197547913,0.6282040476799011


100
