units,dropout,lr,batch_size,epochs,MSE,RMSE,MAE,MAPE,R2
128,0.2,0.001,64,100,17.5261908206674,4.186429364108201,3.4659997728649308,17.366154856895957,0.20041844629734884
64,0.2,0.001,32,100,17.54769873727097,4.1889973427147185,3.4775211992731676,17.444911728706476,0.19943721006919413
128,0.1,0.001,64,100,17.566109409898356,4.191194270121388,3.4701591838279833,17.32816281774239,0.19859727660191961
64,0.1,0.001,64,50,17.567312027984933,4.191337737284474,3.455180572380375,17.346783917131454,0.19854241064456402
64,0.1,0.0005,64,100,17.569926942655492,4.191649668406878,3.4553196926105394,17.260573343658685,0.19842311275739166
128,0.1,0.0005,64,100,17.582122387946697,4.193104147042701,3.4591043307086617,17.20480523752628,0.19786673098602914
128,0.1,0.0005,32,50,17.632197034940944,4.199070972839223,3.4770726075105998,17.505615250304746,0.1955822206520691
128,0.1,0.001,64,50,17.648027994397335,4.200955604906738,3.475688976377952,17.512296805866225,0.19485997910578756
128,0.2,0.001,64,50,17.66650414580652,4.203154071147823,3.47833226075106,17.496107456842307,0.19401705835926797
128,0.2,0.001,32,100,17.692737610491747,4.206273601478124,3.4833699273167777,17.63054285302916,0.19282023272461357
64,0.1,0.001,32,100,17.712247936264955,4.208592156085566,3.4696822001817083,17.367420158185922,0.19193013077635745
128,0.1,0.001,32,50,17.740598282054435,4.211958960157902,3.486152331920049,17.395471154478813,0.19063672858952108
64,0.2,0.0005,32,100,17.76609607162799,4.214984705977946,3.4629306102362203,17.078797627049948,0.18947346599516635
128,0.1,0.001,32,100,17.819444347175956,4.22130836911685,3.4822948213204112,17.261017231988422,0.18703960586626167
64,0.2,0.001,32,50,17.826884943074273,4.222189591085918,3.4742409903089033,17.21242969126165,0.18670015028862208
128,0.2,0.001,32,50,17.834338847668082,4.223072204884506,3.45843428225318,17.002443665933303,0.18636008754040423
64,0.2,0.001,64,100,17.851417645200826,4.225093803124473,3.4791423758328284,17.360192689432694,0.1855809170060687
128,0.1,0.0005,32,100,17.851909079872286,4.225151959382323,3.479277237280436,17.41437648922024,0.18555849672649005
128,0.2,0.0005,32,100,17.87858907716914,4.228308063181908,3.4852437916414294,17.50550293939585,0.18434129933832488
64,0.1,0.001,64,100,17.885490094190075,4.229124033909395,3.517007684736523,17.730482497441795,0.18402646047983073
64,0.1,0.0005,32,100,17.889373482808715,4.2295831334552005,3.466782442459116,17.1935889571064,0.18384929215289103
128,0.1,0.0005,64,50,17.958088170403354,4.237698452037775,3.484987318291944,17.46586088790249,0.18071438410405682
64,0.1,0.001,32,50,18.16116997629278,4.261592422591909,3.475904754694125,17.0054918711572,0.17144936653444776
64,0.1,0.0005,32,50,18.3390388060858,4.282410396737543,3.49467746820109,17.308494656840978,0.16333461777150116
64,0.2,0.001,64,50,18.392223776546412,4.288615601397077,3.508814733494851,17.360564672984264,0.16090820796290894
128,0.2,0.0005,32,50,18.47104207455354,4.2977950247253,3.5269084077831616,17.66129888943646,0.15731235203359772
64,0.1,0.0005,64,50,19.26194000262625,4.3888426723484,3.5551237886129616,17.51527944712503,0.12122993112312497
64,0.2,0.0005,32,50,19.330053832194505,4.396595709431844,3.629474560872199,18.562020217235062,0.11812243547663226
128,0.2,0.0005,64,50,19.335350297434555,4.39719800525682,3.6004093163234407,18.145043885973323,0.11788079963293374
64,0.2,0.0005,64,50,19.413353223425197,4.406058694959158,3.5888921486977585,17.83761091747605,0.1143221426837352
128,0.2,0.0005,64,100,19.546300717959756,4.421119848857273,3.6227655587522714,18.412888036133992,0.10825679937391208
64,0.2,0.0005,64,100,19.609973598505643,4.4283149841114104,3.633440907026045,18.50159274375476,0.1053519091284193
